Host_Time_s,Raw_Data_Line
1765390589.031585,0
1765390589.033070,14
1765390589.033143,0
1765390589.060906,0
1765390589.062708,0
1765390589.062749,0
1765390589.091369,0
1765390589.092606,31
1765390589.092620,22
1765390589.121100,50
1765390589.122786,0
1765390589.122816,25
1765390589.150798,0
1765390589.152878,66
1765390589.152926,0
1765390589.181135,7
1765390589.183041,0
1765390589.183092,0
1765390589.211078,0
1765390589.212903,0
1765390589.212932,57
1765390589.241127,0
1765390589.243071,0
1765390589.243115,0
1765390589.271134,66
1765390589.272822,41
1765390589.272868,4
1765390589.301447,0
1765390589.303987,45
1765390589.304028,0
1765390589.332954,0
1765390589.332996,65
1765390589.333234,13
1765390589.361694,9
1765390589.363945,30
1765390589.363989,0
1765390589.393141,0
1765390589.393174,9
1765390589.393201,0
1765390589.421053,36
1765390589.423040,13
1765390589.423092,0
1765390589.451068,0
1765390589.452899,70
1765390589.452946,0
1765390589.481164,0
1765390589.483144,109
1765390589.483172,11
1765390589.511104,32
1765390589.512922,0
1765390589.512966,0
1765390589.541133,52
1765390589.543151,0
1765390589.543247,11
1765390589.571113,0
1765390589.573059,0
1765390589.573156,14
1765390589.601395,0
1765390589.602942,0
1765390589.602980,51
1765390589.631108,4
1765390589.633015,13
1765390589.633061,0
1765390589.661127,16
1765390589.663073,61
1765390589.663120,39
1765390589.691401,0
1765390589.692917,0
1765390589.692960,22
1765390589.720899,0
1765390589.722962,52
1765390589.723016,2
1765390589.750986,0
1765390589.752973,66
1765390589.753017,0
1765390589.781176,1
1765390589.783213,0
1765390589.783357,0
1765390589.811084,0
1765390589.812892,7
1765390589.812972,38
1765390589.841108,4
1765390589.843125,17
1765390589.843167,0
1765390589.871190,0
1765390589.873028,51
1765390589.873154,49
1765390589.901122,0
1765390589.903130,0
1765390589.903174,0
1765390589.931053,0
1765390589.933092,0
1765390589.933125,0
1765390589.961125,37
1765390589.963100,0
1765390589.963217,10
1765390589.991419,12
1765390589.992890,0
1765390589.992933,0
1765390590.020930,18
1765390590.023024,0
1765390590.023078,0
1765390590.050909,0
1765390590.052968,1
1765390590.053013,0
1765390590.081515,15
1765390590.082929,33
